DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C_LOFF	C_LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
01	2	11	088	D14-03-1991	20-03-1991	21-03-1991	21-03-1991	100											0	Charnoz-sur-Ain	0	Charnoz
01	1	11	088	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Charnoz-sur-Ain		
01	4	03	091	A22-10-1973	16-11-1973	01-11-1973	01-11-1973	110											0	Châtillon-en-Michaille	0	Châtillon-de-Michaille
01	4	03	091	A22-10-1973	16-11-1973	01-11-1973	01-11-1973	340			2	1	01278						0	Châtillon-en-Michaille		
01	4	03	091	A22-10-1973	16-11-1973	01-11-1973	01-11-1973	340			2	2	01458						0	Châtillon-en-Michaille		
01	4	03	091	A29-01-1985		01-02-1985	01-02-1985	360					01278						0	Châtillon-en-Michaille		
01	4	03	091	A29-01-1985		01-02-1985	01-02-1985	360					01458						0	Châtillon-en-Michaille		
01		18	095	A20-05-2016	20-07-2016	01-01-2017	01-01-2017	331					01095						0	Chavannes-sur-Suran		
01	2	18	095	A20-05-2016	20-07-2016	01-01-2017	01-01-2017	341			2	2	01172						0	Nivigne et Suran		
01	2	18	095	A20-05-2016	20-07-2016	01-01-2017	01-01-2017	341			2	1	01095						0	Nivigne et Suran		
01		04	098	A30-06-2016	20-07-2016	01-01-2017	01-01-2017	331					01098						0	Chazey-Bons		
01	1	04	098	A30-06-2016	20-07-2016	01-01-2017	01-01-2017	341			2	1	01098						0	Chazey-Bons		
01	1	04	098	A30-06-2016	20-07-2016	01-01-2017	01-01-2017	341			2	2	01316						0	Chazey-Bons		
01	3	20	104	D24-08-1962	26-08-1962	27-08-1962	27-08-1962	110											0	Chézery-Forens	0	Chézery
01	3	20	104	D24-08-1962	26-08-1962	27-08-1962	27-08-1962	320			1	1	01164						0	Chézery-Forens		
01	4	03	114	A21-12-2016		01-01-2017	01-01-2017	420									013		0	Confort		
01			119	A27-11-2015	26-12-2015	01-01-2016	01-01-2016	331					01080						0	Corcelles		
01			120	A29-12-1972	09-02-1973	01-01-1973	01-01-1973	330					01262						0	Cordieux		
01	2	18	125	A30-07-1943		01-08-1943	01-08-1943	320			1	1	01377						0	Corveissiat		
01	2	18	125	A11-05-1964	03-06-1964	04-06-1964	04-06-1964	320			1	1	01020						0	Corveissiat		
01			126	D21-03-1966	22-03-1966	23-03-1966	23-03-1966	310					01033						0	Coupy		
01			131	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	310					01189						0	Craz		
01			137	A28-11-1972	10-01-1973	01-12-1972	01-12-1972	330					01426						0	Cuisiat		
01			137	A04-12-2015	31-12-2015	01-01-2016	01-01-2016	332					01426						0	Cuisiat		
01	3	09	143	A08-02-1965	28-02-1965	15-02-1965	15-02-1965	320			1	1	01438						0	Divonne-les-Bains		
01	2	07	145	D07-09-1954	10-09-1954	11-09-1954	11-09-1954	100											0	Dompierre-sur-Veyle	0	Dompierre
01	1	12	156	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Faramans		
01			161	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	330					01414						0	Fitignieu		
01			161	A11-01-1994		01-02-1994	01-02-1994	350					01414						0	Fitignieu		
01			164	D24-08-1962	26-08-1962	27-08-1962	27-08-1962	310					01104						0	Forens		
01	2	22	165	A16-07-1973	19-08-1973	01-01-1974	01-01-1974	110											1	Amareins-Francheleins-Cesseins	0	Francheleins
01	2	22	165	A16-07-1973	19-08-1973	01-01-1974	01-01-1974	340			2	1	01003						1	Amareins-Francheleins-Cesseins		
01	2	22	165	A16-07-1973	19-08-1973	01-01-1974	01-01-1974	340			2	2	01070						1	Amareins-Francheleins-Cesseins		
01	2	22	165	A07-12-1982		01-01-1983	01-01-1983	360					01003						1	Amareins-Francheleins-Cesseins		
01	2	22	165	A08-07-1996		01-08-1996	01-08-1996	360					01070						1	Amareins-Francheleins-Cesseins		
01	2	22	165	D30-11-1998	08-12-1998	09-12-1998	09-12-1998	100											0	Francheleins	1	Amareins-Francheleins-Cesseins
01	4	14	170	D03-10-2008	05-10-2008	06-10-2008	06-10-2008	100											0	Béard-Géovreissiat	0	Géovreissiat
01	4	14	171	A18-12-2006		01-01-2007	01-01-2007	610					01283	0	19				0	Géovreisset		
01			172	A20-05-2016	20-07-2016	01-01-2017	01-01-2017	331					01095						0	Germagnat		
01			176	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	331					01187						2	Grand-Abergement		
01	1		176	A29-09-2015		01-01-2016	01-01-2016	421									014		2	Grand-Abergement		
01			178	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	310					01240						0	Granges		
01			182	A30-12-2015	31-01-2016	01-01-2016	01-01-2016	331					01338						0	Groslée		
01	2	18	184	A26-12-1972	28-01-1973	01-01-1973	01-01-1973	110											1	Hautecourt-Romanèche	1	Hautecourt
01	2	18	184	A26-12-1972	28-01-1973	01-01-1973	01-01-1973	340			1	1	01327						1	Hautecourt-Romanèche		
01	2	18	184	A09-07-1997		01-08-1997	01-08-1997	360					01327						1	Hautecourt-Romanèche		
01	1	10	185	D16-07-1942	31-07-1942	01-08-1942	01-08-1942	110											1	Hauteville-Lompnes	1	Hauteville
01	1	10	185	D16-07-1942	31-07-1942	01-08-1942	01-08-1942	320			1	1	01220						1	Hauteville-Lompnes		
01	1	10	185	A29-07-1964	21-08-1964	01-09-1964	01-09-1964	320			2	1	01201						1	Hauteville-Lompnes		
01	1	10	185	A29-07-1964	21-08-1964	01-09-1964	01-09-1964	320			2	2	01222						1	Hauteville-Lompnes		
01	1	10	186	D10-08-2007	14-08-2007	15-08-2007	15-08-2007	100											1	Hostiaz	1	Hostias
01		10	187	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	331					01187						1	Hotonnes		
01	4	10	187	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	341			4	1	01176						0	Haut Valromey		
01	4	10	187	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	341			4	4	01409						0	Haut Valromey		
01	4	10	187	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	341			4	3	01292						0	Haut Valromey		
01	4	10	187	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	341			4	2	01187						0	Haut Valromey		
01	1	10	187	A29-09-2015		01-01-2016	01-01-2016	421									014		1	Hotonnes		
01	4	03	189	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	110											1	Injoux-Génissiat	1	Injoux
01	4	03	189	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	320			1	1	01131						1	Injoux-Génissiat		
01	1	12	198	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Joyeux		
01			201	A29-07-1964	21-08-1964	01-09-1964	01-09-1964	310					01185						0	Lacoux		
01	1	11	202	A10-01-1965	04-03-1965	10-01-1965	10-01-1965	320			1	1	01315						0	Lagnieu		
01		14	204	A15-09-2015	26-12-2015	01-01-2016	01-01-2016	331					01204						0	Lalleyriat		
01	4	14	204	A15-09-2015	26-12-2015	01-01-2016	01-01-2016	341			2	1	01204						2	Poizat-Lalleyriat		
01	4	14	204	A15-09-2015	26-12-2015	01-01-2016	01-01-2016	341			2	2	01300						2	Poizat-Lalleyriat		
01	4	03	205	A21-12-2016		01-01-2017	01-01-2017	420									013		0	Lancrans		
01			217	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	330					01079						0	Lilignod		
01			217	A23-12-1996		01-01-1997	01-01-1997	350					01079						0	Lilignod		
01			220	D16-07-1942	31-07-1942	01-08-1942	01-08-1942	310					01185						0	Lompnes		
01			222	A29-07-1964	21-08-1964	01-09-1964	01-09-1964	310					01185						0	Longecombe		
01			223	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	330					01450						0	Loyes		
01			223	A21-12-1994		01-01-1995	01-01-1995	350					01450						0	Loyes		
01			226	D17-10-1974	27-10-1974	01-11-1974	01-11-1974	330					01036						0	Luthézieu		
01			226	A03-11-1997		01-12-1997	01-12-1997	350					01036						0	Luthézieu		
01	4	16	240	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	110											0	Matafelon-Granges	0	Matafelon
01	4	16	240	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	320			1	1	01178						0	Matafelon-Granges		
01	2	22	243	D29-12-1982	13-01-1983	14-01-1983	14-01-1983	100											0	Messimy-sur-Saône	0	Messimy
01	1	12	244	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Meximieux		
01	2	18	245	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	110											0	Bohas-Meyriat-Rignat	0	Meyriat
01	2	18	245	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	340			2	1	01048						0	Bohas-Meyriat-Rignat		
01	2	18	245	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	340			2	2	01324						0	Bohas-Meyriat-Rignat		
01	2	18	245	A23-12-1999		01-01-2000	01-01-2000	360					01048						0	Bohas-Meyriat-Rignat		
01			251	A23-12-1974	14-01-1975	01-01-1975	01-01-1975	310					01313						0	Moëns		
01			253	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	330					01450						0	Mollon		
01			253	A21-12-1994		01-01-1995	01-01-1995	350					01450						0	Mollon		
01	1	12	260	A21-12-2016		01-01-2017	01-01-2017	420									012		2	Montellier		
01	2	12	262	A29-12-1972	09-02-1973	01-01-1973	01-01-1973	340			1	1	01120						0	Montluel		
01	2	08	263	D10-05-1962	15-05-1962	16-05-1962	16-05-1962	100											0	Montmerle-sur-Saône	0	Montmerle
01	4	14	265	D31-12-1979	09-01-1980	31-12-1979	31-12-1979	100											0	Montréal-la-Cluse	0	Montréal
01	2	02	266	D25-01-1955	28-01-1955	29-01-1955	29-01-1955	100											0	Montrevel-en-Bresse	0	Montrevel
01	4	16	267	A14-02-1973	09-03-1973	01-03-1973	01-03-1973	110											0	Nurieux-Volognat	0	Mornay
01	4	16	267	A14-02-1973	09-03-1973	01-03-1973	01-03-1973	320			1	1	01455						0	Nurieux-Volognat		
01			270	A08-08-1973	13-09-1973	01-01-1974	01-01-1974	310					01410						0	Napt		
01			271	A24-12-2015	31-01-2016	01-01-2016	01-01-2016	331					01286						0	Nattages		
01	4	16	273	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Neuville-sur-Ain		
01			278	A22-10-1973	16-11-1973	01-11-1973	01-11-1973	330					01091						1	Ochiaz		
01			278	A29-01-1985		01-02-1985	01-02-1985	350					01091						1	Ochiaz		
01	4	15	283	A29-12-1972	16-02-1973	01-01-1973	01-01-1973	320			1	1	01055						1	Oyonnax		
01	4	15	283	A29-12-1972	16-02-1973	01-01-1973	01-01-1973	340			1	1	01440						1	Oyonnax		
01	4	15	283	D17-12-1996	24-12-1996	01-01-1997	01-01-1997	610					01014	0	0				1	Oyonnax		
01	4	15	283	D17-12-1996	24-12-1996	01-01-1997	01-01-1997	630					01014	0	0				1	Oyonnax		
01	4	15	283	A18-12-2006		01-01-2007	01-01-2007	630					01171	0	19				1	Oyonnax		
01		15	283	A28-08-2014		01-01-2015	01-01-2015	360					01440						1	Oyonnax		
01		04	286	A24-12-2015	31-01-2016	01-01-2016	01-01-2016	331					01286						0	Parves		
01	1	04	286	A24-12-2015	31-01-2016	01-01-2016	01-01-2016	341			2	1	01271						0	Parves et Nattages		
01	1	04	286	A24-12-2015	31-01-2016	01-01-2016	01-01-2016	341			2	2	01286						0	Parves et Nattages		
01			287	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	330					01079						0	Passin		
01			287	A23-12-1996		01-01-1997	01-01-1997	350					01079						0	Passin		
01	1	12	290	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Pérouges		
01			292	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	331					01187						2	Petit-Abergement		
01	1		292	A29-09-2015		01-01-2016	01-01-2016	421									014		2	Petit-Abergement		
01	2	08	295	D17-05-1947	20-05-1947	21-05-1947	21-05-1947	100											0	Peyzieux-sur-Saône	0	Peyzieux
01			300	A15-09-2015	26-12-2015	01-01-2016	01-01-2016	331					01204						2	Poizat		
01	4	16	304	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Pont-d'Ain		
01			312	A04-12-2015	31-12-2015	01-01-2016	01-01-2016	331					01426						0	Pressiat		
01	3	19	313	A23-12-1974	14-01-1975	01-01-1975	01-01-1975	110											0	Prévessin-Moëns	0	Prévessin
01	3	19	313	A23-12-1974	14-01-1975	01-01-1975	01-01-1975	320			1	1	01251						0	Prévessin-Moëns		
01	4	16	314	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Priay		
01			315	A10-01-1965	04-03-1965	10-01-1965	10-01-1965	310					01202						0	Proulieu		
01			316	A30-06-2016	20-07-2016	01-01-2017	01-01-2017	331					01098						0	Pugieu		
01			324	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	330					01245						0	Rignat		
01	1	12	325	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Rignieux-le-Franc		
01			327	A26-12-1972	28-01-1973	01-01-1973	01-01-1973	330					01184						0	Romanèche		
01			327	A09-07-1997		01-08-1997	01-08-1997	350					01184						0	Romanèche		
01		89	338	A30-12-2015	31-01-2016	01-01-2016	01-01-2016	331					01338						0	Saint-Benoît		
01	1	89	338	A30-12-2015	31-01-2016	01-01-2016	01-01-2016	341			2	1	01182						0	Groslée-Saint-Benoit		
01	1	89	338	A30-12-2015	31-01-2016	01-01-2016	01-01-2016	341			2	2	01338						0	Groslée-Saint-Benoit		
01			340	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	331					01015						0	Saint-Bois		
01	1	12	349	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Saint-Éloi		
01	1	11	361	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Saint-Jean-de-Niost		
01	2	23	370	D17-12-1958	18-12-1958	19-12-1958	19-12-1958	100											0	Saint-Laurent-sur-Saône	0	Saint-Laurent
01			377	A30-07-1943		01-08-1943	01-08-1943	310					01125						0	Saint-Maurice-d'Échazeaux		
01	1	11	378	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Saint-Maurice-de-Gourdans		
01	1	01	384	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	100											0	Saint-Rambert-en-Bugey	0	Saint-Rambert
01	1	11	403	D25-03-1955	30-03-1955	31-03-1955	31-03-1955	100											0	Serrières-de-Briord	0	Serrières
01	2	18	408	D08-06-1994	12-06-1994	13-06-1994	13-06-1994	100											0	Simandre-sur-Suran	0	Simandre
01			409	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	331					01187						0	Songieu		
01	4	16	410	A08-08-1973	13-09-1973	01-01-1974	01-01-1974	320			1	1	01270						0	Sonthonnax-la-Montagne		
01	1	10	414	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	340			2	1	01086						0	Sutrieu		
01	1	10	414	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	340			2	2	01161						0	Sutrieu		
01	1	10	414	A11-01-1994		01-02-1994	01-02-1994	360					01161						0	Sutrieu		
01	1	10	414	A11-01-1994		01-02-1994	01-02-1994	360					01086						0	Sutrieu		
01	2	07	422	A21-01-2013		01-02-2013	01-02-2013	610					01069	0	0				0	Tossiat		
01	2	07	422	A21-01-2013		01-02-2013	01-02-2013	630					01069	0	0				0	Tossiat		
01	2	18	426	A28-11-1972	10-01-1973	01-12-1972	01-12-1972	110											0	Treffort-Cuisiat	0	Treffort
01	2	18	426	A28-11-1972	10-01-1973	01-12-1972	01-12-1972	340			1	1	01137						0	Treffort-Cuisiat		
01		18	426	A04-12-2015	31-12-2015	01-01-2016	01-01-2016	331					01426						0	Treffort		
01	2	18	426	A04-12-2015	31-12-2015	01-01-2016	01-01-2016	341			3	3	01137						0	Val-Revermont		
01	2	18	426	A04-12-2015	31-12-2015	01-01-2016	01-01-2016	341			3	1	01312						0	Val-Revermont		
01	2	18	426	A04-12-2015	31-12-2015	01-01-2016	01-01-2016	341			3	2	01426						0	Val-Revermont		
01	4	16	430	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Varambon		
01			438	A08-02-1965	28-02-1965	15-02-1965	15-02-1965	310					01143						0	Vésenex-Crassy		
01			440	A29-12-1972	16-02-1973	01-01-1973	01-01-1973	330					01283						0	Veyziat		
01			440	A28-08-2014		01-01-2015	01-01-2015	350					01283						0	Veyziat		
01	2	22	443	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	100											0	Villars-les-Dombes	0	Villars
01	2	07	449	D14-03-1991	20-03-1991	21-03-1991	21-03-1991	100											0	Villette-sur-Ain	0	Villette
01	2	11	450	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	110											0	Villieu-Loyes-Mollon	0	Villieu
01	2	11	450	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	340			2	1	01223						0	Villieu-Loyes-Mollon		
01	2	11	450	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	340			2	2	01253						0	Villieu-Loyes-Mollon		
01	2	11	450	A21-12-1994		01-01-1995	01-01-1995	360					01253						0	Villieu-Loyes-Mollon		
01	2	11	450	A21-12-1994		01-01-1995	01-01-1995	360					01223						0	Villieu-Loyes-Mollon		
01	1	11	450	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Villieu-Loyes-Mollon		
01	2	05	451	D09-09-1996	14-09-1996	15-09-1996	15-09-1996	610					01024	0	1				0	Viriat		
01			455	A14-02-1973	09-03-1973	01-03-1973	01-03-1973	310					01267						0	Volognat		
01			458	A22-10-1973	16-11-1973	01-11-1973	01-11-1973	330					01091						0	Vouvray		
01			458	A29-01-1985		01-02-1985	01-02-1985	350					01091						0	Vouvray		
01			459	D16-07-1942	31-07-1942	01-08-1942	01-08-1942	990					01185						0	Hauteville-Lompnés		
02	4	05	008	A24-02-1971	16-03-1971	25-02-1971	25-02-1971	110											1	Aizy-Jouy	1	Aizy
02	4	05	008	A24-02-1971	16-03-1971	25-02-1971	25-02-1971	320			1	1	02394						1	Aizy-Jouy		
02	5	19	021	A20-12-2016		01-01-2017	01-01-2017	420									022		1	Archon		
02	4	21	022	A21-12-1972	23-01-1973	01-01-1973	01-01-1973	320			1	1	02113						1	Arcy-Sainte-Restitue		
02			026	A10-09-2015	26-12-2015	01-01-2016	01-01-2016	331					02458						1	Artonges		
02	2	10	028	D13-02-1997	16-02-1997	17-02-1997	17-02-1997	610					02408	0	13				1	Athies-sous-Laon		
02	2	10	028	D13-02-1997	16-02-1997	17-02-1997	17-02-1997	620					02408	4	22				1	Athies-sous-Laon		
02	3	12	032	D11-06-1979	14-06-1979	15-06-1979	15-06-1979	100											1	Aubigny-aux-Kaisnes	1	Aubigny
02	4	20	034	A20-12-2016		01-01-2017	01-01-2017	420									022		1	Audignicourt		
02	5	19	038	A20-12-2016		01-01-2017	01-01-2017	420									022		4	Autels		
02			045	A07-12-1970	06-01-1971	01-01-1971	01-01-1971	310					02439						0	Barbonval		
02	2	20	049	D03-12-2014	05-12-2014	06-12-2014	06-12-2014	100											0	Barisis-aux-Bois	0	Barisis
02	5	07	050	D20-02-1956	23-02-1956	24-02-1956	24-02-1956	100											0	Barzy-en-Thiérache	0	Barzy
02		04	053	A23-11-2015	26-12-2015	01-01-2016	01-01-2016	331					02053						0	Baulne-en-Brie		
02	1	04	053	A23-11-2015	26-12-2015	01-01-2016	01-01-2016	341			3	2	02161						0	Vallées en Champagne		
02	1	04	053	A23-11-2015	26-12-2015	01-01-2016	01-01-2016	341			3	3	02669						0	Vallées en Champagne		
02	1	04	053	A23-11-2015	26-12-2015	01-01-2016	01-01-2016	341			3	1	02053						0	Vallées en Champagne		
02	3	13	060	D19-06-1961	21-06-1961	22-06-1961	22-06-1961	100											0	Beauvois-en-Vermandois	0	Beauvois
02	5	19	069	A20-12-2016		01-01-2017	01-01-2017	420									022		0	Berlise		
02			092	A29-11-1968	05-02-1969	01-01-1969	01-01-1969	310					02093						0	Blérancourdelle		
02	2	20	093	A29-11-1968	05-02-1969	01-01-1969	01-01-1969	320			1	1	02092						0	Blérancourt		
02	3	01	095	D01-06-1956	07-06-1956	08-06-1956	08-06-1956	100											0	Bohain-en-Vermandois	0	Bohain
02	2	06	102	R		01-01-1975	01-01-1975	100											0	Bouconville-Vauclair	0	Bouconville-Vauclerc
02			113	A21-12-1972	23-01-1973	01-01-1973	01-01-1973	310					02022						0	Branges		
02	5	19	116	D20-02-1956	23-02-1956	24-02-1956	24-02-1956	100											0	Braye-en-Thiérache	0	Braye
02	3	12	124	A20-02-1965	05-03-1965	25-02-1965	25-02-1965	110											0	Brissy-Hamégicourt	0	Brissy
02	3	12	124	A20-02-1965	05-03-1965	25-02-1965	25-02-1965	320			1	1	02365						0	Brissy-Hamégicourt		
02	5	19	126	A20-12-2016		01-01-2017	01-01-2017	420									022		0	Brunehamel		
02	1	05	127	D20-02-1956	23-02-1956	24-02-1956	24-02-1956	100											0	Bruyères-sur-Fère	0	Bruyères
02	2	20	140	A15-06-1971	16-07-1971	01-07-1971	01-07-1971	110											0	Camelin	0	Camelin-et-le-Fresne
02	2	20	140	A15-06-1971	16-07-1971	01-07-1971	01-07-1971	320			1	1	02436						0	Camelin		
02	1		147	D22-11-2013	24-11-2013	25-11-2013	25-11-2013	610					02777	0	7				3	Celle-sous-Montmirail		
02	1		147	D22-11-2013	24-11-2013	25-11-2013	25-11-2013	630					02777	0	6				3	Celle-sous-Montmirail		
02			147	A10-09-2015	26-12-2015	01-01-2016	01-01-2016	331					02458						3	Celle-sous-Montmirail		
02	5	19	160	A20-12-2016		01-01-2017	01-01-2017	420									022		0	Chaourse		
02			161	A23-11-2015	26-12-2015	01-01-2016	01-01-2016	331					02053						3	Chapelle-Monthodon		
02	1	04	163	D07-07-2006	08-07-2006	09-07-2006	09-07-2006	100											0	Charly-sur-Marne	0	Charly
02	1	04	166	A06-09-1974	03-10-1974	01-10-1974	01-10-1974	330					02524						0	Chartèves		
02	1	04	166	A10-11-1977	07-12-1977	01-01-1978	01-01-1978	210					02524						0	Chartèves		
02	5	19	181	A20-12-2016		01-01-2017	01-01-2017	420									022		0	Chéry-lès-Rozoy		
02	4	21	192	A20-12-2016		01-01-2017	01-01-2017	420									021		0	Chouy		
02	2	19	200	D01-06-1956	07-06-1956	08-06-1956	08-06-1956	100											0	Clermont-les-Fermes	0	Clermont
02	5	19	200	A20-12-2016		01-01-2017	01-01-2017	420									022		0	Clermont-les-Fermes		
02			202	A07-12-1970	06-01-1971	01-01-1971	01-01-1971	310					02220						0	Cohan		
02	1	05	220	D01-06-1956	07-06-1956	08-06-1956	08-06-1956	100											0	Coulonges-en-Tardenois	0	Coulonges
02	1	05	220	A07-12-1970	06-01-1971	01-01-1971	01-01-1971	110											0	Coulonges-Cohan	0	Coulonges-en-Tardenois
02	1	05	220	A07-12-1970	06-01-1971	01-01-1971	01-01-1971	320			1	1	02202						0	Coulonges-Cohan		
02	4	05	224	D01-04-1939	01-04-1939	01-01-2009	01-01-2009	100											0	Courcelles-sur-Vesle	0	Courcelles-sur-Vesles
